Disease_ID,Treatment_System,Recommendation,Evidence_Level
D001,Yoga,Recommended,Moderate
D001,Ayurveda,Supportive,Limited
D001,Nutrition Therapy,Highly Recommended,Strong
D001,Acupuncture,Not routinely recommended,Limited
D002,Yoga,Recommended,Moderate
D002,Ayurveda,Supportive,Limited
D002,Nutrition Therapy,Highly Recommended,Strong
D002,Acupuncture,Not routinely recommended,Limited
D003,Yoga,Recommended,Moderate
D003,Ayurveda,Supportive,Limited
D003,Nutrition Therapy,Highly Recommended,Strong
D003,Acupuncture,Not routinely recommended,Limited
D004,Yoga,Recommended,Moderate
D004,Ayurveda,Supportive,Limited
D004,Nutrition Therapy,Highly Recommended,Strong
D004,Acupuncture,Not routinely recommended,Limited
D005,Yoga,Recommended,Moderate
D005,Ayurveda,Supportive,Limited
D005,Nutrition Therapy,Highly Recommended,Strong
D005,Acupuncture,Not routinely recommended,Limited
D006,Yoga,Recommended,Moderate
D006,Ayurveda,Supportive,Limited
D006,Nutrition Therapy,Highly Recommended,Strong
D006,Acupuncture,Not routinely recommended,Limited
D007,Yoga,Recommended,Moderate
D007,Ayurveda,Supportive,Limited
D007,Nutrition Therapy,Highly Recommended,Strong
D007,Acupuncture,Not routinely recommended,Limited
D008,Yoga,Recommended,Moderate
D008,Ayurveda,Supportive,Limited
D008,Nutrition Therapy,Highly Recommended,Strong
D008,Acupuncture,Not routinely recommended,Limited
D009,Yoga,Recommended,Moderate
D009,Ayurveda,Supportive,Limited
D009,Nutrition Therapy,Highly Recommended,Strong
D009,Acupuncture,Not routinely recommended,Limited
D010,Yoga,Recommended,Moderate
D010,Ayurveda,Supportive,Limited
D010,Nutrition Therapy,Highly Recommended,Strong
D010,Acupuncture,Not routinely recommended,Limited
D011,Yoga,Recommended,Moderate
D011,Ayurveda,Supportive,Limited
D011,Nutrition Therapy,Highly Recommended,Strong
D011,Acupuncture,Not routinely recommended,Limited
D012,Yoga,Recommended,Moderate
D012,Ayurveda,Supportive,Limited
D012,Nutrition Therapy,Highly Recommended,Strong
D012,Acupuncture,Not routinely recommended,Limited
D013,Yoga,Recommended,Moderate
D013,Ayurveda,Supportive,Limited
D013,Nutrition Therapy,Highly Recommended,Strong
D013,Acupuncture,Not routinely recommended,Limited
D014,Yoga,Recommended,Moderate
D014,Ayurveda,Supportive,Limited
D014,Nutrition Therapy,Highly Recommended,Strong
D014,Acupuncture,Not routinely recommended,Limited
D015,Yoga,Recommended,Moderate
D015,Ayurveda,Supportive,Limited
D015,Nutrition Therapy,Highly Recommended,Strong
D015,Acupuncture,Not routinely recommended,Limited
D016,Yoga,Recommended,Moderate
D016,Ayurveda,Supportive,Limited
D016,Nutrition Therapy,Highly Recommended,Strong
D016,Acupuncture,Not routinely recommended,Limited
D017,Yoga,Recommended,Moderate
D017,Ayurveda,Supportive,Limited
D017,Nutrition Therapy,Highly Recommended,Strong
D017,Acupuncture,Not routinely recommended,Limited
D018,Yoga,Recommended,Moderate
D018,Ayurveda,Supportive,Limited
D018,Nutrition Therapy,Highly Recommended,Strong
D018,Acupuncture,Not routinely recommended,Limited
D019,Yoga,Recommended,Moderate
D019,Ayurveda,Supportive,Limited
D019,Nutrition Therapy,Highly Recommended,Strong
D019,Acupuncture,Not routinely recommended,Limited
D020,Yoga,Recommended,Moderate
D020,Ayurveda,Supportive,Limited
D020,Nutrition Therapy,Highly Recommended,Strong
D020,Acupuncture,Not routinely recommended,Limited
D021,Yoga,Recommended,Moderate
D021,Ayurveda,Supportive,Limited
D021,Nutrition Therapy,Highly Recommended,Strong
D021,Acupuncture,Not routinely recommended,Limited
D022,Yoga,Recommended,Moderate
D022,Ayurveda,Supportive,Limited
D022,Nutrition Therapy,Highly Recommended,Strong
D022,Acupuncture,Not routinely recommended,Limited
D023,Yoga,Recommended,Moderate
D023,Ayurveda,Supportive,Limited
D023,Nutrition Therapy,Highly Recommended,Strong
D023,Acupuncture,Not routinely recommended,Limited
D024,Yoga,Recommended,Moderate
D024,Ayurveda,Supportive,Limited
D024,Nutrition Therapy,Highly Recommended,Strong
D024,Acupuncture,Not routinely recommended,Limited
D025,Yoga,Recommended,Moderate
D025,Ayurveda,Supportive,Limited
D025,Nutrition Therapy,Highly Recommended,Strong
D025,Acupuncture,Not routinely recommended,Limited
D026,Yoga,Recommended,Moderate
D026,Ayurveda,Supportive,Limited
D026,Nutrition Therapy,Highly Recommended,Strong
D026,Acupuncture,Not routinely recommended,Limited
D027,Yoga,Recommended,Moderate
D027,Ayurveda,Supportive,Limited
D027,Nutrition Therapy,Highly Recommended,Strong
D027,Acupuncture,Not routinely recommended,Limited
D028,Yoga,Recommended,Moderate
D028,Ayurveda,Supportive,Limited
