Disease_ID,Prevention
D001,"Maintain a healthy diet, exercise regularly, and monitor blood sugar."
D002,"Reduce salt intake, exercise regularly, and check blood pressure."
D003,"Avoid triggers, use prescribed inhalers, and avoid smoking."
D004,"Manage stress, sleep well, stay hydrated, and avoid known triggers."
D005,"Eat balanced meals, avoid spicy foods, and limit alcohol."
D006,"Get vaccinated, wash hands, and seek treatment for respiratory infections."
D007,"Prevent mosquito bites, remove stagnant water, and use repellents."
D008,"Control blood pressure and diabetes, stay hydrated, and avoid unnecessary painkillers."
D009,"Maintain a healthy weight, exercise regularly, and protect joints."
D010,"Manage stress, maintain social connections, and seek early mental health support."
D011,"Eat a heart-healthy diet, exercise regularly, avoid smoking, and control cholesterol and blood pressure."
D012,"Manage blood pressure, control diabetes, avoid smoking, and follow prescribed heart medications."
D013,"Control blood pressure, avoid smoking, exercise regularly, and manage diabetes and cholesterol."
D014,"Avoid smoking and air pollution, get vaccinated, and follow prescribed respiratory treatments."
D015,"Get the BCG vaccine where recommended, ensure proper ventilation, and avoid close contact with infected individuals."
D016,"Get vaccinated, wash hands frequently, wear masks in high-risk settings, and avoid close contact with infected individuals."
D017,"Receive annual flu vaccination, wash hands frequently, and avoid close contact with sick individuals."
D018,"Avoid excessive NSAID use, quit smoking, reduce alcohol intake, and treat H. pylori infection if present."
D019,"Maintain a healthy weight, avoid late-night meals, reduce fatty foods, and limit caffeine and alcohol."
D020,"Receive Hepatitis B vaccination, practice safe sex, avoid sharing needles, and ensure safe blood transfusions."
D021,"Avoid excessive alcohol consumption, vaccinate against Hepatitis B, and manage liver diseases early."
D022,"Maintain a healthy weight, eat a balanced diet, and avoid rapid weight loss."
D023,"No specific prevention; seek immediate medical care if symptoms develop."
D024,"Ensure adequate iodine intake and undergo regular thyroid checkups if at risk."
D025,""Attend regular thyroid screenings and follow medical advice for thyroid disorders."
D026,"Eat iron-rich foods, consume adequate vitamin B12 and folate, and treat underlying causes."
D027,"Avoid unnecessary radiation and toxic chemical exposure, and attend regular medical checkups."
D028,"Perform regular breast self-examinations, attend mammography screenings, exercise regularly, and limit alcohol."
D029,"Avoid smoking, reduce exposure to pollutants, and undergo screening if at high risk."
D030,"Maintain a healthy diet, exercise regularly, and undergo routine prostate screening after the recommended age."
D031,"Avoid skin injuries, manage stress, moisturize regularly, and avoid known triggers."
D032,"Moisturize skin regularly, avoid irritants, use gentle skincare products, and manage allergies."
D033,"Keep skin clean, avoid excessive touching of the face, and use non-comedogenic skincare products."
D034,"Attend regular eye examinations, especially if at high risk, and manage eye pressure."
D035,"""Protect eyes from UV light, control diabetes, avoid smoking, and have regular eye checkups."
D036,"Wash hands frequently, avoid touching the eyes, and avoid sharing towels or cosmetics."
D037,"Treat upper respiratory infections promptly, maintain good hygiene, and avoid tobacco smoke exposure."
D038,"Practice good hygiene, manage allergies, avoid smoking, and treat colds promptly."
D039,"Maintain cardiovascular health, stay mentally active, exercise regularly, and follow a healthy diet."
D040,"Exercise regularly, avoid exposure to toxins, and maintain overall brain health."
D041,"Prevent head injuries, seek treatment for brain infections, and follow medical advice for neurological conditions."
D042,"Avoid smoking, maintain a healthy weight, exercise regularly, and seek early treatment for symptoms."
D043,"Limit high-purine foods, stay hydrated, maintain a healthy weight, and reduce alcohol intake."
D044,"Consume adequate calcium and vitamin D, exercise regularly, and avoid smoking and excessive alcohol."
D045,"Use mosquito nets, apply insect repellent, wear protective clothing, and eliminate mosquito breeding sites."
D046,"Drink safe water, maintain food hygiene, wash hands regularly, and get vaccinated where recommended."
D047,"Drink clean water, practice proper sanitation, wash hands frequently, and ensure safe food preparation".
D048,"Receive varicella vaccination and avoid close contact with infected individuals."
D049,"Receive the MMR vaccine and avoid exposure to infected individuals."
D050,"Practice safe sex, avoid sharing needles, use screened blood products, and undergo regular HIV testing."
