Disease_ID,Medicine,Generic_Name,Purpose,Dosage_Form,Side_Effects
D001,Metformin,Metformin,Control blood sugar,Tablet,"Nausea, diarrhea"
D002,Amlodipine,Amlodipine,Lower blood pressure,Tablet,"Swelling, dizziness"
D003,Ventolin,Salbutamol,Relieve asthma symptoms,Inhaler,"Tremor, fast heartbeat"
D004,Sumatriptan,Sumatriptan,Treat migraine attacks,Tablet,"Dizziness, tingling"
D005,Pantoprazole,Pantoprazole,Reduce stomach acid,Tablet,"Headache, diarrhea"
D006,Amoxil,Amoxicillin,Treat bacterial infection,Capsule,"Rash, nausea"
D007,Paracetamol,Paracetamol,Reduce fever and pain,Tablet,Rare liver damage
D008,Lasix,Furosemide,Reduce fluid retention,Tablet,Dehydration
D009,Voltaren,Diclofenac,Relieve joint pain,Tablet,Stomach irritation
D010,Prozac,Fluoxetine,Treat depression,Capsule,"Nausea, insomnia"
D011,Aspirin,Aspirin,Prevents blood clots,Tablet,"Bleeding, Stomach irritation"
D012,Lasix,Furosemide,Removes excess fluid,Tablet,"Frequent urination, Low potassium"
D013,Alteplase,Alteplase,Dissolves blood clots,Injection,"Bleeding, Allergic reaction"
D014,Spiriva,Tiotropium,Improves breathing,Inhaler,"Dry mouth, Cough"
D015,Rifadin,Rifampicin,Treats tuberculosis,Capsule,"Orange urine, Liver toxicity"
D016,Paxlovid,Nirmatrelvir + Ritonavir,Treats COVID-19,Tablet,"Altered taste, Diarrhea"
D017,Tamiflu,Oseltamivir,Treats influenza,Capsule,"Nausea, Vomiting"
D018,Nexium,Esomeprazole,Heals stomach ulcers,Capsule,"Headache, Constipation"
D019,Prilosec,Omeprazole,Reduces acid reflux,Capsule,"Headache, Diarrhea"
D020,Viread,Tenofovir,Treats Hepatitis B,Tablet,"Kidney problems, Nausea"
D021,Aldactone,Spironolactone,Manages cirrhosis fluid buildup,Tablet,"High potassium, Dizziness"
D022,Ursodiol,Ursodeoxycholic Acid,Dissolves gallstones,Capsule,"Diarrhea, Nausea"
D023,Flagyl,Metronidazole,Prevents bacterial infection,Tablet,"Metallic taste, Nausea"
D024,Synthroid,Levothyroxine,Replaces thyroid hormone,Tablet,"Rapid heartbeat, Insomnia"
D025,Tapazole,Methimazole,Reduces thyroid hormone,Tablet,"Rash, Liver problems"
D026,Ferrous Sulfate,Ferrous Sulfate,Treats iron deficiency anemia,Tablet,"Constipation, Nausea"
D027,Gleevec,Imatinib,Treats leukemia,Tablet,"Swelling, Nausea"
D028,Tamoxifen,Tamoxifen,Treats breast cancer,Tablet,"Hot flashes, Blood clots"
D029,Keytruda,Pembrolizumab,Lung cancer immunotherapy,Injection,"Fatigue, Immune reactions"
D030,Lupron,Leuprolide,Treats prostate cancer,Injection,"Hot flashes, Fatigue"
D031,Daivonex,Calcipotriol,Treats psoriasis,Cream,"Skin irritation, Itching"
D032,Elocon,Mometasone,Reduces eczema inflammation,Cream,"Burning, Skin thinning"
D033,Benzac AC,Benzoyl Peroxide,Treats acne,Gel,"Dry skin, Irritation"
D034,Xalatan,Latanoprost,Lowers eye pressure,Eye Drops,"Eye redness, Eyelash growth"
D035,Pred Forte,Prednisolone,Controls eye inflammation,Eye Drops,"Eye irritation, Blurred vision"
D036,Vigamox,Moxifloxacin,Treats bacterial conjunctivitis,Eye Drops,"Eye irritation, Burning"
D037,Amoxil,Amoxicillin,Treats middle ear infection,Capsule,"Rash, Diarrhea"
D038,Flonase,Fluticasone,Relieves sinus inflammation,Nasal Spray,"Nosebleed, Nasal irritation"
D039,Aricept,Donepezil,Improves memory symptoms,Tablet,"Nausea, Diarrhea"
D040,Sinemet,Levodopa + Carbidopa,Improves movement,Tablet,"Dizziness, Nausea"
D041,Keppra,Levetiracetam,Prevents seizures,Tablet,"Drowsiness, Irritability"
D042,Humira,Adalimumab,Treats rheumatoid arthritis,Injection,"Infection risk, Headache"
D043,Zyloprim,Allopurinol,Lowers uric acid,Tablet,"Rash, Stomach upset"
D044,Fosamax,Alendronate,Strengthens bones,Tablet,"Heartburn, Stomach irritation"
D045,Coartem,Artemether + Lumefantrine,Treats malaria,Tablet,"Headache, Dizziness"
D046,Cipro,Ciprofloxacin,Treats typhoid fever,Tablet,"Nausea, Tendon injury"
D047,Doxycycline,Doxycycline,Treats cholera,Capsule,"Sun sensitivity, Nausea"
D048,Calamine Lotion,Calamine,Relieves itching,Lotion,"Skin irritation, Dryness"
D049,Paracetamol,Acetaminophen,Relieves fever and pain,Tablet,"Nausea, Liver damage (overdose)"
D050,Biktarvy,Bictegravir + Emtricitabine + Tenofovir Alafenamide,Treats HIV infection,Tablet,"Nausea, Headache"
